reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d5da3aec-1bcc-45dd-82f7-a073840964dd,Muhammad muiz Arfan,https://play-lh.googleusercontent.com/a-/ALV-UjVnox9xWc1zK7GfG717KR7uOlB1P_U4jAzv1P1FpnbykvIZUC8u,can you make a dark mode please???,5,0,3.77.25,2026-07-05 22:30:54,"Thank you for rating us Muhammad muiz Arfan !
If you need assistance in the future, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Internet Call.",2026-07-05 23:10:33,3.77.25
eed1421e-2a42-4053-af42-18aa2a6e6dd4,Shan S,https://play-lh.googleusercontent.com/a-/ALV-UjWu70oi1ctnxighp1zETtzZIgDfjFmJsr-lQC2cyG6RFa0YMOzt,"on opening app, video pops up, making annoying noise. tried everything, including clearing cache, reinstalling, etc, NO USE. ask you programmer to correct this error unless it's deliberately put it. In the past, no issues",1,1,3.77.25,2026-07-05 22:18:05,"We're sorry to hear about this review, Shan S. 😢 We would like to understand more about the issues you've encountered. Could you please provide additional details or contact our support team? You can access via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-06-20 22:54:15,3.77.25
b409b422-e13c-45d4-a631-7651fb4d6344,Nazmin Pauzi,https://play-lh.googleusercontent.com/a-/ALV-UjXxkIxE8svKb2dO7gSQZXcZZZ4I0b9Yafk99F2gJCmtBJS_yN8,terbaik,5,0,3.77.25,2026-07-05 22:02:04,,,3.77.25
b4398159-6058-4fe5-a160-07e31368a81e,Ghost Rider,https://play-lh.googleusercontent.com/a-/ALV-UjXi6CcQAC_DBPuFg2yMSvwkKxdip-1Pznq-NTMBdS3xkNmQbbU,it's very good,5,0,3.76.27,2026-07-05 21:55:48,"We're happy to hear that you're enjoying Shopee, Ghost Rider! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-07-05 22:08:34,3.76.27
53eb3df4-8e1b-4234-9278-fedc977817b9,TLutfil Dato TZainal,https://play-lh.googleusercontent.com/a/ACg8ocIZDuMo9rKw34ZhNeNXOTgwauu4aUtj0W_pAgMCSmskqczocMw=mo,reasonable certain times (pricing),5,0,3.77.25,2026-07-05 21:50:57,"We're happy to hear that you're enjoying Shopee, TLutfil Dato TZainal! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-03-07 20:05:01,3.77.25
b2d7837e-434e-40c4-a302-a44ef5e49021,humyrah afiqah,https://play-lh.googleusercontent.com/a-/ALV-UjVhk4BquCsQBPArHohGBDRF2PX5ewt65u86i6bTPF601oENJ_KP,I lied y'all make 100 ads and still gain nothing,5,0,3.77.25,2026-07-05 21:44:58,"We're happy to hear that you're enjoying Shopee, humyrah afiqah! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-02-09 00:15:37,3.77.25
78d95206-bfb8-414b-a5b6-436049b0a6ce,nik azran nik aziz,https://play-lh.googleusercontent.com/a/ACg8ocLugrmejMe6H2kvqS3j2TA6YU3sE6W4Ynxp1ZFyR0XgsJqgVg=mo,apps easy to use and reliable..very recommended,5,0,3.77.25,2026-07-05 21:01:34,,,3.77.25
5932e3f3-fb2c-4264-94bf-3923115059e4,Muhamad Faizan,https://play-lh.googleusercontent.com/a/ACg8ocJLrNKQZH-zcqAnkZ5cTB5fLgM7GxaKBCCukX-WvG5PKh1WYQ=mo,Sangat membantu,5,0,3.77.25,2026-07-05 20:50:12,"Terima kasih atas rating ini, Muhamad Faizan !
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat atau Panggilan Internet Percuma.",2026-07-05 21:54:17,3.77.25
91f5a742-f6cd-4423-93b3-4ae981065064,Hafiz “Locos” Zainai,https://play-lh.googleusercontent.com/a-/ALV-UjX9SsIoykL0Zni2YqSNHIbx_ipqljD4x7-zNOww-HcxucfzyGHl,easy to use the apps,5,0,3.77.25,2026-07-05 20:33:38,"Thank you for rating us Hafiz “Locos” Zainai !
If you need assistance in the future, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Internet Call.",2026-07-05 21:53:48,3.77.25
74a52310-8391-4a64-b5e1-c7d630620253,suhaimi rahim,https://play-lh.googleusercontent.com/a-/ALV-UjUd5QBv_TcTSLVTQYkRl9Jhguj54Wn1drC2MVKco5s5unB6ruHC,thiss app very ok,5,0,3.77.25,2026-07-05 20:32:33,"Thank you for rating us suhaimi rahim !
If you need assistance in the future, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Internet Call.",2026-07-05 21:53:34,3.77.25
