reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
22449834-7546-419b-a084-ac6da487adc9,Puteri Afiya,https://play-lh.googleusercontent.com/a/ACg8ocItX779urXgOHp1DjretcNCIaLCUOHWRQcpEvemy4wDTJ3ZbQ=mo,senang untuk simpanan duit tabungn,5,0,,2026-07-05 21:13:57,,,
a044703f-1590-444f-9f06-d43bdce03a88,MUHAMMAD THAQIF WAFIY,https://play-lh.googleusercontent.com/a-/ALV-UjVvMCIXW1dFuZup4RWoSf-QattVcfLsHVvoU0-ggN90SyVGwbxu,MONEY 🤑🤑🤑🤑💰💰💰💰,5,0,0.9.47,2026-07-05 20:48:17,,,0.9.47
c06cd303-2ac8-4bff-a371-b88ddc60d58f,Aberu Shin,https://play-lh.googleusercontent.com/a/ACg8ocLN8Qmpxo_VBidhb7xiUCEwUnKBdw80aeFmMGHmp4T6Egm-ew=mo,notification sometimes got sometimes not. how I know If I already received and make payment. everytime the notification came after 3 or 4 hour,2,0,0.9.47,2026-07-05 20:36:05,,,0.9.47
904e3725-e380-4706-8ed1-25463eb628b2,Camera 2,https://play-lh.googleusercontent.com/a-/ALV-UjVA1Z9kKhiothaFwt84gKQyd3ZYMYyTeLMfqaGbd2gzvjrIYDZE,"Convenient, secure, and reliable banking app.",5,0,,2026-07-05 18:27:00,,,
1b6e20b6-c41d-4e26-8263-d744500d83a0,Add Plus,https://play-lh.googleusercontent.com/a/ACg8ocIxrFrkQwOzqAofPvoLd2-kS0jDFnDzF6slZdDt3kg9QaPGmg=mo,What happen to this app? Just 1 time per day only i can share transaction receipt? What's going on?,1,0,0.9.47,2026-07-05 16:57:45,,,0.9.47
9a37a0b6-6763-45e2-8ad5-a0df6506e79c,Muhammad Zharfan,https://play-lh.googleusercontent.com/a-/ALV-UjVAHnU93IHZqay28E2QrD-38pWqnRVci4L4A41f20_rvn6ugSsW,"Managing personal finances is completely effortless with this updated banking software. The biological biometric login acts swiftly, and completing QR payments at local merchant stalls takes just a fraction of a second. The account dashboard displays balances cleanly, making it very straightforward to keep a close eye on monthly expenditures.",5,0,0.9.47,2026-07-05 16:04:03,,,0.9.47
1af307fa-e76d-459e-86f8-f973db4ceacf,Kuan,https://play-lh.googleusercontent.com/a/ACg8ocKhYCQqsawHYygFrRnE-zEWliOZRSLfzzQqSgJ9hWQFSS1elA=mo,"Too tight security and you will push customers away. a simple screenshot of my history is disabled. I will slowly phase out from MBB to CIMB, goodbye",3,0,0.9.47,2026-07-05 15:16:58,,,0.9.47
7d4297ca-1c5a-44e3-9d08-e4b9c25c48a9,Daniel Suhaimi,https://play-lh.googleusercontent.com/a/ACg8ocK_uebY7iEaPIYaFDN3EVY4ERvEF_m-lYMpbKqtyRQrbS4tmA=mo,ada problem? asyik system down ja nie.... susah nk pkai .huhu... mohon diperbaiki... dari minggu lepas nie,2,0,0.9.47,2026-07-05 13:22:50,,,0.9.47
3e79376d-b81b-4f09-9e93-ee1f44311e08,Daniel Ang,https://play-lh.googleusercontent.com/a/ACg8ocIcJCls3oqSrF2eG8zMvx23TG2UIda_DTF4s70pksfj3FpCrg=mo,apps got problem??? Maybank please check it that my apps can't use for transfer transaction.,1,0,0.9.47,2026-07-05 10:11:41,,,0.9.47
26e27506-2480-4e36-aeb9-f4d94264057c,Wans Bella,https://play-lh.googleusercontent.com/a-/ALV-UjVVG3HhyCgmQRw96OX-vBo2I_2CuyWstCB8Ta2NGpOCqc4ilg,Good,5,0,,2026-07-05 01:10:38,,,
