review_id,user_name,review_text,rating,thumbs_up_count,app_version,review_date,developer_reply_text,developer_reply_date,developer_reply,review_length,positive_review,negative_review
1c53f602-9b5b-4728-8263-4612cb5f3070,Puteri Afiya,senang guna untuk menyimpan duit simpanan,5,0,1.9.51,2026-07-05 21:13:00,"Hai, terima kasih atas ulasan anda dan kami akan bekerja lebih keras untuk menambah baik mutu perkhidmatan CIMB OCTO MY kami. ❤",2026-07-06 06:13:45,True,41,False,False
28a8ad77-315a-4eda-8728-83d7765aed7d,Ez Sky77,why my device not support cimb click.. sebelum ni ok je boleh guna..lepas tu suruh update..tapi buka kat playstore disuruh uninstall..bila padam.. nak install balik cakap fon tak support..sebelum ni ok je.,1,0,1.6.7,2026-07-05 20:11:21,"Hai. CIMB OCTO hanya menyokong OS minimum Android Versi 11 dan iOS Versi 16 dan ke atas. Jika peranti anda menggunakan versi OS yang lebih lama, sila kemas kini sistem anda atau gunakan peranti lain yang disokong untuk terus menggunakan aplikasi CIMB OCTO dengan selamat.",2026-07-06 06:22:42,True,205,False,False
9ea49a1f-e9e4-4183-83d3-3bac1eb73939,Camera 2,"Easy banking anytime, anywhere. Great app!",5,0,,2026-07-05 18:28:32,Thanks for leaving us a good review! We'll continue to improve the app to serve you better ❤,2026-07-06 06:12:37,True,42,True,False
66afa1b4-5ca6-4f47-a018-ef196d5c2e75,Lithianic,why tf is this app 1gb size? even harimau is 300mb,1,0,1.9.51,2026-07-05 18:10:25,,,False,50,False,False
09690e28-6e49-407e-8ebe-d25c8b01c84e,Daphne T,"same here. the app forced an update, once updated, stated my device is no longer compatible. installing in my new device, unable to login as the app was previously paired with the older device.",1,0,1.9.51,2026-07-05 11:21:57,"Hi, sorry for any inconvenience caused. We recommend you to contact our Call Center at the number as written on the back of your card for further assistance on this matter.",2026-07-06 06:11:30,True,193,False,False
517404e2-cd62-4cca-9cf2-ee4bdff4c5ee,Pakngah 76,Menyusahkan..beritahu lah awal2 apps akan diblock dan tidak blh guna kalau phone tidak bersesuaian..bukan nak beritahu phone jenis mana yg xsesuai lagi digunakan..dah satu hal nk call centre bagai untuk terminate kan handphone lama..ingat semua orang senang ke nk tukar2 handphone..,1,0,,2026-07-04 21:37:06,"Hai, terima kasih atas ulasan anda dan kami akan bekerja lebih keras untuk menambah baik mutu perkhidmatan CIMB OCTO MY kami.",2026-07-06 06:09:56,True,282,False,False
1128fda9-e6b3-4357-ae90-b964de901880,Lead Derx,This app not function anmore...for android 10...Which low iq suggests make system like this?,1,0,1.9.33,2026-07-04 15:17:57,"Hey there, we're sorry to hear about this experience. The latest CIMB OCTO App update will only be supported on Android 11 and above/iOS 16 and above. To continue enjoying access to banking via your CIMB OCTO App, kindly upgrade your device operating system (OS).",2026-07-04 17:35:16,True,92,False,False
dfac5665-7b4c-45e5-8e78-49244babae4f,Ken Ng,they force people to buy new phone to use their stupid app after they changed the app requirement to android 11,1,0,1.9.51,2026-07-04 14:24:34,"Please note that the operating system (OS) requirements for the CIMB OCTO app have been updated to ensure app security and compatibility.

If your device is using an older OS version, please update your device's operating system or use another supported device to continue using the CIMB OCTO app safely.",2026-07-04 17:37:33,True,111,False,False
c91e4090-ca3d-4ca3-9f8a-22684da518fc,Nine Road,my nova 4e is incompatible with the latest version.... then what am i supposed to do? forcing me to buy a new phone??,1,0,,2026-07-04 14:17:04,"Hey there! Please note that the operating system (OS) requirements for the CIMB OCTO app have been updated to ensure app security and compatibility.

If your device is using an older OS version, please update your device's operating system or use another supported device to continue using the CIMB OCTO app safely.",2026-07-04 17:40:45,True,117,False,False
1dd62c76-0191-41e4-b991-04199fb3805e,Partha,unable to open leading only in red screen 🤯,1,0,1.9.51,2026-07-04 12:46:31,"Hi. We would appreciate it if you could delete and reinstall the app then try logging back into your CIMB OCTO Apps. If the issue persists, please drop us an e-mail or you may message with more details in the Mailbox, either via the OCTO MY app or via CIMB Clicks web. Thank you.",2026-07-04 17:41:32,True,43,False,False
